1	v1	1	6	2	2	-1.5	2	2	1.5	0	0	0
1	v2	1	6	2	2	-0.5	1.5	1.5	1.5	0	0	0
1	v3	1	6	2	2	0.5	1	1	1.2	0	0	0
1	v4	1	6	2	2	1.5	2	2	0	1.2	0	0
1	v5	1	6	2	2	-1.5	1.5	1.5	0	1.5	0	0
1	v6	1	6	2	2	-0.5	1	1	0	1.8	0	0
1	v7	1	6	2	2	0.5	1.5	1.5	0	0	1.2	0
1	v8	1	6	2	2	1.5	1.5	1.5	0	0	1.5	0
1	v9	1	6	2	2	-1.5	1	1	0	0	1.5	0
1	v10	1	6	2	2	-0.5	2	2	0	0	0	1.8
1	v11	1	6	2	2	0.5	2	2	0	0	0	2
1	v12	1	6	2	2	1.5	1	1	0	0	0	1.5
1	v1	2	6	2	2	-1.5	2	2	1.5	0	0	0
1	v2	2	6	2	2	-0.5	1.5	1.5	1.5	0	0	0
1	v3	2	6	2	2	0.5	1	1	1.2	0	0	0
1	v4	2	6	2	2	1.5	2	2	0	1.2	0	0
1	v5	2	6	2	2	-1.5	1.5	1.5	0	1.5	0	0
1	v6	2	6	2	2	-0.5	1	1	0	1.8	0	0
1	v7	2	6	2	2	0.5	1.5	1.5	0	0	1.2	0
1	v8	2	6	2	2	1.5	1.5	1.5	0	0	1.5	0
1	v9	2	6	2	2	-1.5	1	1	0	0	1.5	0
1	v10	2	6	2	2	-0.5	2	2	0	0	0	1.8
1	v11	2	6	2	2	0.5	2	2	0	0	0	2
1	v12	2	6	2	2	1.5	1	1	0	0	0	1.5
0	G1	1	6	0	0	0	0	0	0	0	1.3	0	0	0.5	0	0	0	0	0	0	0	0 	0.5	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
0	G2	2	6	0	0.2	0	0	0	0	0	0	0.4	0	0	0	0	0.25	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
